Configuration,Mean Fidelity,Std across seeds,Min Fidelity,Max Fidelity,N Seeds
PriorityA_shots10_noise0pct_baseline,0.86056536,0.0020579859,0.85885066,0.86345935,3
PriorityA_shots10_noise0pct_XZ,0.7723079,0.0021663785,0.76947546,0.77473545,3
PriorityA_shots10_noise1pct_baseline,0.85667413,0.0010285327,0.8555443,0.8580324,3
PriorityA_shots10_noise1pct_XZ,0.7723164,0.0031081862,0.767927,0.77471435,3
PriorityA_shots10_noise5pct_baseline,0.8580868,0.0006943102,0.85720545,0.85890234,3
PriorityA_shots10_noise5pct_XZ,0.77192736,0.0020496899,0.7691718,0.77408415,3
PriorityA_shots100_noise0pct_baseline,0.92263645,0.0010279302,0.9212293,0.9236562,3
PriorityA_shots100_noise0pct_XZ,0.8181927,0.002225279,0.8156504,0.8210702,3
PriorityA_shots100_noise1pct_baseline,0.92248386,0.0008200837,0.92175275,0.9236291,3
PriorityA_shots100_noise1pct_XZ,0.8175133,0.00076202967,0.8169175,0.8185889,3
PriorityA_shots100_noise5pct_baseline,0.9230747,0.00073670596,0.9220347,0.92364776,3
PriorityA_shots100_noise5pct_XZ,0.8170683,0.002161864,0.81444824,0.81974286,3
PriorityA_shots1000_noise0pct_baseline,0.92451555,0.0002681175,0.92417383,0.9248287,3
PriorityA_shots1000_noise0pct_XZ,0.8222396,0.0015717073,0.82023466,0.8240731,3
PriorityA_shots1000_noise1pct_baseline,0.9244841,0.0006295253,0.92360276,0.925034,3
PriorityA_shots1000_noise1pct_XZ,0.8227336,0.0009972662,0.82136387,0.82370955,3
PriorityA_shots1000_noise5pct_baseline,0.9242943,0.00080857886,0.9232363,0.92519903,3
PriorityA_shots1000_noise5pct_XZ,0.8209732,0.00033911492,0.820607,0.8214245,3
