Experiment,Mean Fidelity,Std Fidelity,RMSE_x,RMSE_y,RMSE_z,Frac > 0.95,Convergence Epoch
PriorityA_shots10_noise0pct_baseline_seed48,0.85885066,0.11227512,0.22997642,0.22677498,0.21734396,0.2429,159
PriorityA_shots10_noise0pct_baseline_seed49,0.85938615,0.11373461,0.22935334,0.22926651,0.21619256,0.2725,111
PriorityA_shots10_noise0pct_baseline_seed50,0.86345935,0.11430758,0.22803494,0.22994192,0.2148655,0.2933,16
PriorityA_shots10_noise0pct_XZ_seed48,0.7727127,0.14147352,0.22620492,0.45474538,0.22039124,0.0855,80
PriorityA_shots10_noise0pct_XZ_seed49,0.76947546,0.14315031,0.23157057,0.4633072,0.22134443,0.1068,169
PriorityA_shots10_noise0pct_XZ_seed50,0.77473545,0.14128675,0.22684272,0.45664793,0.21847291,0.1073,88
PriorityA_shots10_noise1pct_baseline_seed48,0.8555443,0.11119374,0.22924174,0.22685544,0.21826316,0.2127,117
PriorityA_shots10_noise1pct_baseline_seed49,0.8564455,0.11103735,0.2288792,0.22896492,0.2158318,0.2262,222
PriorityA_shots10_noise1pct_baseline_seed50,0.8580324,0.11057292,0.22795196,0.22955531,0.21349226,0.2324,246
PriorityA_shots10_noise1pct_XZ_seed48,0.77471435,0.14254223,0.22629404,0.45470077,0.22042531,0.1036,48
PriorityA_shots10_noise1pct_XZ_seed49,0.767927,0.14315028,0.23141491,0.46329042,0.22113755,0.1079,84
PriorityA_shots10_noise1pct_XZ_seed50,0.7743077,0.14000839,0.22637545,0.45658547,0.21847577,0.0922,283
PriorityA_shots10_noise5pct_baseline_seed48,0.85720545,0.11253114,0.22996336,0.22757795,0.21783428,0.2367,36
PriorityA_shots10_noise5pct_baseline_seed49,0.85890234,0.11205911,0.22925575,0.22878963,0.21575809,0.2441,271
PriorityA_shots10_noise5pct_baseline_seed50,0.85815257,0.11095924,0.22845085,0.2296545,0.21271579,0.2374,398
PriorityA_shots10_noise5pct_XZ_seed48,0.77408415,0.14230646,0.22642797,0.45487484,0.22037186,0.1049,173
PriorityA_shots10_noise5pct_XZ_seed49,0.7691718,0.14301853,0.23132388,0.46334937,0.22155567,0.1064,163
PriorityA_shots10_noise5pct_XZ_seed50,0.77252626,0.1399774,0.22694628,0.45667508,0.21870448,0.0838,96
PriorityA_shots100_noise0pct_baseline_seed48,0.9236562,0.12121179,0.082869664,0.082914025,0.07158058,0.6959,349
PriorityA_shots100_noise0pct_baseline_seed49,0.9212293,0.12200127,0.08347241,0.082240164,0.072335936,0.686,151
PriorityA_shots100_noise0pct_baseline_seed50,0.92302364,0.12130912,0.08301579,0.08343418,0.07454978,0.695,277
PriorityA_shots100_noise0pct_XZ_seed48,0.8210702,0.15576275,0.0846373,0.45802897,0.07797782,0.3448,39
PriorityA_shots100_noise0pct_XZ_seed49,0.8156504,0.15571588,0.08583107,0.46354088,0.07588194,0.3229,256
PriorityA_shots100_noise0pct_XZ_seed50,0.8178575,0.15553054,0.08530763,0.46207276,0.077218,0.3301,286
PriorityA_shots100_noise1pct_baseline_seed48,0.9236291,0.121067315,0.08333393,0.082783684,0.07209579,0.6954,393
PriorityA_shots100_noise1pct_baseline_seed49,0.92175275,0.121537864,0.08259396,0.08269914,0.07212491,0.6871,155
PriorityA_shots100_noise1pct_baseline_seed50,0.9220697,0.12234879,0.082553245,0.08277909,0.07322623,0.6929,389
PriorityA_shots100_noise1pct_XZ_seed48,0.8169175,0.15467498,0.08444914,0.4580194,0.07612838,0.3239,195
PriorityA_shots100_noise1pct_XZ_seed49,0.8185889,0.1559154,0.08596327,0.46320203,0.07697231,0.3324,200
PriorityA_shots100_noise1pct_XZ_seed50,0.8170336,0.15524288,0.08559954,0.46209484,0.07661027,0.3272,360
PriorityA_shots100_noise5pct_baseline_seed48,0.9235418,0.12107022,0.08355602,0.082333185,0.07308651,0.6957,225
PriorityA_shots100_noise5pct_baseline_seed49,0.9220347,0.121485226,0.08301401,0.08242149,0.07282568,0.6883,175
PriorityA_shots100_noise5pct_baseline_seed50,0.92364776,0.120709166,0.08240875,0.083470576,0.073457785,0.6963,244
PriorityA_shots100_noise5pct_XZ_seed48,0.81974286,0.15528478,0.0849374,0.4580215,0.07709582,0.3377,102
PriorityA_shots100_noise5pct_XZ_seed49,0.81444824,0.1558145,0.08684314,0.46318555,0.0759236,0.321,250
PriorityA_shots100_noise5pct_XZ_seed50,0.81701374,0.15509179,0.085612096,0.4618848,0.07580753,0.3255,183
PriorityA_shots1000_noise0pct_baseline_seed48,0.9248287,0.12351064,0.031461168,0.03176555,0.027197797,0.7005,149
PriorityA_shots1000_noise0pct_baseline_seed49,0.9245442,0.12323443,0.029925717,0.030554088,0.02675469,0.6986,208
PriorityA_shots1000_noise0pct_baseline_seed50,0.92417383,0.12383164,0.03008052,0.03074587,0.026979093,0.6999,346
PriorityA_shots1000_noise0pct_XZ_seed48,0.8240731,0.15644012,0.031364515,0.46170017,0.029570667,0.3556,177
PriorityA_shots1000_noise0pct_XZ_seed49,0.82023466,0.15784818,0.031069973,0.46133608,0.029119192,0.3536,461
PriorityA_shots1000_noise0pct_XZ_seed50,0.82241094,0.15605848,0.030875346,0.45843256,0.02814421,0.3495,105
PriorityA_shots1000_noise1pct_baseline_seed48,0.925034,0.1231575,0.03067885,0.031289537,0.027818166,0.7005,351
PriorityA_shots1000_noise1pct_baseline_seed49,0.92360276,0.12412701,0.030722763,0.030666497,0.026118727,0.6986,354
PriorityA_shots1000_noise1pct_baseline_seed50,0.9248154,0.1231347,0.033887785,0.031693567,0.027643876,0.6999,214
PriorityA_shots1000_noise1pct_XZ_seed48,0.82312727,0.15621042,0.031378213,0.46166107,0.027611746,0.3527,161
PriorityA_shots1000_noise1pct_XZ_seed49,0.82136387,0.15787068,0.031561427,0.46125764,0.028457884,0.3545,102
PriorityA_shots1000_noise1pct_XZ_seed50,0.82370955,0.15614887,0.03182992,0.45826313,0.02843517,0.3552,97
PriorityA_shots1000_noise5pct_baseline_seed48,0.92444766,0.12399249,0.03250539,0.03245597,0.027693167,0.7005,128
PriorityA_shots1000_noise5pct_baseline_seed49,0.92519903,0.12249235,0.030840898,0.031616814,0.027938316,0.6986,141
PriorityA_shots1000_noise5pct_baseline_seed50,0.9232363,0.12507325,0.031007739,0.030975621,0.028164841,0.6999,489
PriorityA_shots1000_noise5pct_XZ_seed48,0.8208881,0.15689936,0.030927157,0.4616171,0.030539198,0.3515,280
PriorityA_shots1000_noise5pct_XZ_seed49,0.820607,0.1574903,0.03185124,0.461272,0.028524486,0.3541,205
PriorityA_shots1000_noise5pct_XZ_seed50,0.8214245,0.15698577,0.03251016,0.45828316,0.0291454,0.3526,183
