Configuration,Mean Fidelity,Std across seeds,Min Fidelity,Max Fidelity,N Seeds
PriorityB_pure_baseline,0.9998438,1.2056356e-05,0.9998287,0.9998582,3
PriorityB_pure_XY,0.75088006,0.0025863436,0.7474241,0.7536454,3
PriorityB_pure_XZ,0.8786716,0.0018307504,0.8768967,0.88119143,3
PriorityB_pure_YZ,0.88039064,0.00063769444,0.87955564,0.8811032,3
PriorityB_near_pure_baseline,0.9898298,1.1990957e-05,0.9898168,0.9898457,3
PriorityB_near_pure_XY,0.82504934,0.0008179701,0.8241084,0.82610255,3
PriorityB_near_pure_XZ,0.8239506,0.0019022285,0.82161075,0.8262701,3
PriorityB_near_pure_YZ,0.825095,0.00054693694,0.824326,0.8255514,3
PriorityB_mixed_p0.1_baseline,0.9096744,0.0007997227,0.90857595,0.91045684,3
PriorityB_mixed_p0.1_XY,0.7022588,0.0013818105,0.70032793,0.70348465,3
PriorityB_mixed_p0.1_XZ,0.80598813,0.0020831889,0.80391496,0.8088375,3
PriorityB_mixed_p0.1_YZ,0.8064778,0.0013142795,0.8046434,0.8076544,3
PriorityB_mixed_p0.25_baseline,0.78181356,0.0008428643,0.78119475,0.78300524,3
PriorityB_mixed_p0.25_XY,0.6395111,0.0008276819,0.6388139,0.64067394,3
PriorityB_mixed_p0.25_XZ,0.7120592,0.0011580059,0.7105675,0.71339035,3
PriorityB_mixed_p0.25_YZ,0.7105207,0.0011582285,0.7088829,0.7113641,3
PriorityB_mixed_p0.5_baseline,0.623081,0.000358942,0.62268835,0.62355596,3
PriorityB_mixed_p0.5_XY,0.56073016,0.00013833477,0.56054187,0.5608703,3
PriorityB_mixed_p0.5_XZ,0.59299326,0.00044586693,0.59239686,0.5934687,3
PriorityB_mixed_p0.5_YZ,0.59311455,0.0002531727,0.5927921,0.59341055,3
