Experiment,Mean Fidelity,Std Fidelity,RMSE_x,RMSE_y,RMSE_z,Frac > 0.95,Convergence Epoch
PriorityB_pure_baseline_seed48,0.9998582,0.00014458837,0.013894631,0.014547662,0.01275172,1.0,202
PriorityB_pure_baseline_seed49,0.99984455,0.00014774934,0.016250119,0.0138178095,0.012914766,1.0,33
PriorityB_pure_baseline_seed50,0.9998287,0.00016366261,0.012811025,0.016297223,0.015964298,1.0,234
PriorityB_pure_XY_seed48,0.7536454,0.18031679,0.016453411,0.014668192,0.7068965,0.2431,128
PriorityB_pure_XY_seed49,0.7515706,0.18088546,0.0147762755,0.015762793,0.70781785,0.2383,99
PriorityB_pure_XY_seed50,0.7474241,0.17918587,0.013832397,0.015776034,0.71143544,0.227,76
PriorityB_pure_XZ_seed48,0.8768967,0.1442815,0.01653084,0.50176466,0.019125178,0.5045,190
PriorityB_pure_XZ_seed49,0.8779266,0.14481597,0.017721454,0.50108355,0.018540384,0.5105,205
PriorityB_pure_XZ_seed50,0.88119143,0.14029369,0.015186764,0.49427992,0.017580954,0.5033,263
PriorityB_pure_YZ_seed48,0.8811032,0.14239672,0.49884272,0.018878937,0.016539115,0.5103,291
PriorityB_pure_YZ_seed49,0.880513,0.14221698,0.49794754,0.01607698,0.020926518,0.5123,101
PriorityB_pure_YZ_seed50,0.87955564,0.14291792,0.4998722,0.017497804,0.015670702,0.5057,89
PriorityB_near_pure_baseline_seed48,0.98982674,0.0001745833,0.02071189,0.017153172,0.019225532,1.0,94
PriorityB_near_pure_baseline_seed49,0.9898168,0.00016960497,0.018253263,0.01762874,0.022103451,1.0,152
PriorityB_near_pure_baseline_seed50,0.9898457,0.00016239012,0.01929349,0.018261896,0.017620571,1.0,264
PriorityB_near_pure_XY_seed48,0.8249369,0.14948379,0.017982403,0.022277603,0.56610805,0.3151,82
PriorityB_near_pure_XY_seed49,0.8241084,0.14963916,0.019308005,0.016254464,0.56704164,0.3128,36
PriorityB_near_pure_XY_seed50,0.82610255,0.14705464,0.017130854,0.017174464,0.5639889,0.3077,158
PriorityB_near_pure_XZ_seed48,0.8239711,0.14925362,0.01967647,0.56668437,0.016972769,0.3109,122
PriorityB_near_pure_XZ_seed49,0.8262701,0.14651331,0.018011764,0.5620425,0.01752984,0.3023,439
PriorityB_near_pure_XZ_seed50,0.82161075,0.1484518,0.0169104,0.57060957,0.020542448,0.2975,104
PriorityB_near_pure_YZ_seed48,0.8254076,0.14759223,0.56465024,0.017956104,0.018721223,0.3055,157
PriorityB_near_pure_YZ_seed49,0.824326,0.14917874,0.56840223,0.018328734,0.018367369,0.3111,121
PriorityB_near_pure_YZ_seed50,0.8255514,0.14673112,0.56298447,0.01849228,0.015619947,0.2944,220
PriorityB_mixed_p0.1_baseline_seed48,0.90999043,0.0053347084,0.013124055,0.013046985,0.017140113,0.0,258
PriorityB_mixed_p0.1_baseline_seed49,0.91045684,0.0041284296,0.011510847,0.013550894,0.01627147,0.0,65
PriorityB_mixed_p0.1_baseline_seed50,0.90857595,0.004658331,0.012759487,0.011822385,0.01567859,0.0,253
PriorityB_mixed_p0.1_XY_seed48,0.70348465,0.14373626,0.011349423,0.010814548,0.6361086,0.0,41
PriorityB_mixed_p0.1_XY_seed49,0.70296395,0.14506567,0.00986219,0.012653771,0.6370716,0.0,339
PriorityB_mixed_p0.1_XY_seed50,0.70032793,0.14398353,0.014353629,0.011236117,0.64040107,0.0,72
PriorityB_mixed_p0.1_XZ_seed48,0.8052121,0.115856595,0.010857373,0.45169303,0.011757107,0.0,199
PriorityB_mixed_p0.1_XZ_seed49,0.80391496,0.115297206,0.013407087,0.45110512,0.009750929,0.0,185
PriorityB_mixed_p0.1_XZ_seed50,0.8088375,0.11319761,0.010107974,0.44485006,0.016155817,0.0,112
PriorityB_mixed_p0.1_YZ_seed48,0.8046434,0.11410871,0.4489272,0.00981929,0.011672982,0.0,60
PriorityB_mixed_p0.1_YZ_seed49,0.8076544,0.11372111,0.44808242,0.011206526,0.013457724,0.0,167
